ASV_ID,domain,phylum,class,order,family,genus,species
b14fc06324d32a3c6006a100204bc045,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Rubripirellula,
a4adc76b2d3d7ad4bcea7538df8b1785,Unassigned,,,,,,
76edab3813e76cd95a971824b848213d,d__Eukaryota,,,,,,
94d7444eb0eac2e6b7d8cf72e9eaba17,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
eb8f90b6069f611c287509eb93d175a8,Unassigned,,,,,,
c3cdf513ca19a30fe7c490231d6a7b82,d__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Arcobacter,s__Arcobacter_butzleri
dffe798bf5cc81e2650df45a2678f56e,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Ruegeria,
8848a489fc3065150a8e105c6f165206,d__Bacteria,p__Bacteroidota,c__Ignavibacteria,o__Ignavibacteriales,f__Melioribacteraceae,g__IheB3-7,s__uncultured_bacterium
1292a479f0394718087e6411ea654b72,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__uncultured_bacterium
25889181320e18430af8ef276d5c5b17,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,,
c3cac6c5ab4ecc9f72c902024c9ee66b,Unassigned,,,,,,
73bf83db71aee5d84892bf14ffc08626,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
cda7a220bf337982679986bf3fd7495f,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
5ce603d76feace23f78c36e7f0fa302b,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
56f4f28a23ce060459de4860d2381f6d,Unassigned,,,,,,
0e1c98d15d8651a2745e82f03cef5eda,d__Eukaryota,,,,,,
e852c65ce29c79be3cf71d901c3b7909,Unassigned,,,,,,
34c12dcb68e7be029695757b358607b8,Unassigned,,,,,,
9457982a17995db3e723e19094347368,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,
ee7230dd03f074bfc63da06355ef683f,Unassigned,,,,,,
f855092b0fe819b9391dc3274ce63c5c,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
70caf2e3b86d0a8cc445e99f213eb05e,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__uncultured_bacterium
647655545b36d58fc25a96cb69af2d81,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,
4f42a7656c2ebc4745984ff0e03ad3d5,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pir4_lineage,
39fec218c24040689a2be33ad5c3bdd2,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__Anderseniella,
7c0170d39a26637ebf45d83f7c3895ad,d__Bacteria,p__Halanaerobiaeota,c__Halanaerobiia,o__Halanaerobiales,f__Halobacteroidaceae,g__uncultured,s__uncultured_Clostridia
128f4e55af3659f3def8116c0a6c58ca,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,
50bd2219847a5d690a8acf58a8d388a8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
1af77e80a2218428757abb49074901bf,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,,,
4564347033ee522402e6a57dc04c053f,Unassigned,,,,,,
