genus,color
g__Methyloceanibacter,#d3cec8
g__Tunicatimonas,#d1cfc7
g__Gracilibacteria,#cfd1c6
f__Saprospiraceae,#ced3c4
f__Gimesiaceae,#ccd5c3
f__Stappiaceae,#cad6c2
g__Desulforhopalus,#c8d8c1
g__Pontibacter,#c6dac0
g__AB1,#c4dcbf
g__Bdellovibrio,#c2ddbe
o__Defluviicoccales,#c1dfbd
g__Cutibacterium,#bfe1bc
g__Parabacteroides,#bde3bb
g__Terasakiispira,#bbe4ba
g__Roseobacter_clade_CHAB-I-5_lineage,#b9e6b9
g__NS4_marine_group,#b7e8b8
g__Muricauda,#b5eab7
g__KD4-96,#b4ecb6
f__Nostocaceae,#b5ebb5
g__Filomicrobium,#b7eab5
g__Aliihoeflea,#b9e9b5
g__Dadabacteriales,#bbe8b5
g__OM60(NOR5)_clade,#bde7b5
g__Woeseia,#bfe6b5
g__Thiothrix,#c1e5b5
g__Ahrensia,#e0c1ce
g__Aquicella,#dec3cd
g__Vallitalea,#dcc5cc
g__Odoribacter,#dbc7cd
g__UBA10353_marine_group,#d9c8cc
f__Methyloligellaceae,#d5ccc8
g__Jannaschia,#d3cec9
g__Desulfovibrio,#d1cfc8
g__Thalassotalea,#cfd1c7
g__Croceicoccus,#ced3c5
g__Actibacterium,#c5ece4
g__Parcubacteria,#c6eae3
g__Aurantivirga,#c7e8e2
g__Pelomonas,#c8e6e2
g__Bacteroides,#cae4e1
g__Akkermansia,#cbe3e1
f__Alteromonadaceae,#cce1e0
g__Macellibacteroides,#cddfe0
f__Clostridiaceae,#cfdddf
g__Pirellula,#d0dcdf
f__Arenicellaceae,#d1dade
f__Legionellaceae,#d3d8de
o__Rickettsiales,#d4d6dd
f__Microtrichaceae,#d5d5dd
g__0319-6G20,#d6d3dc
g__Cohaesibacter,#d8d1dc
g__Candidatus_Hepatoplasma,#d9cfdb
g__Candidatus_Moranbacteria,#dacedb
o__Verrucomicrobiales,#dbccda
g__Rivularia_PCC-7116,#ddcada
g__Mesorhizobium,#dec8d9
f__Cryomorphaceae,#dfc7d9
f__Sphingomonadaceae,#e1c5d8
g__Synechococcus_PCC-7336,#e2c3d8
g__Delftia,#e3c1d7
g__Streptococcus,#e4c0d7
g__Silicimonas,#e6bed6
g__Bythopirellula,#e7bcd6
g__Turicibacter,#e8bad5
g__NB1-j,#eab9d5
g__Tenacibaculum,#e8bad3
f__Peptococcaceae,#e6bcd2
f__Rubritaleaceae,#e4bed1
g__Photobacterium,#e2c0d0
g__Rheinheimera,#e0c1cf
g__Persicirhabdus,#dec3ce
o__Babeliales,#dcc5cd
g__Neochlamydia,#dbc7cc
f__Halieaceae,#d9c8cb
o__Chlamydiales,#d7caca
g__Pseudahrensia,#d5ccc9
g__Sva0996_marine_group,#d3cec8
g__Vibrio,#d1cfc7
f__Sandaracinaceae,#cfd1c6
g__Ornithinimicrobium,#ced3c4
g__Labrenzia,#ccd5c3
o__Planctomycetales,#cad6c2
g__Erythrobacter,#c8d8c1
g__Legionella,#c6dac0
o__Oligoflexales,#c4dcbf
g__Roseitalea,#c2ddbe
g__Escherichia-Shigella,#c1dfbd
o__Rhizobiales,#bfe1bc
f__Chlamydiaceae,#bde3bb
g__EC3,#bbe4ba
g__NS5_marine_group,#b9e6b9
o__Cellvibrionales,#b7e8b8
f__Desulfocapsaceae,#b5eab7
f__Flavobacteriaceae,#b4ecb6
g__Novosphingobium,#b5ebb5
o__Actinomarinales,#b7eab5
g__Fusibacter,#b9e9b5
g__OM190,#bbe8b5
f__Cyclobacteriaceae,#bde7b5
g__Epulopiscium,#bfe6b5
g__Comamonas,#c1e5b5
g__Bacillus,#eccbb1
g__IheB3-7,#ecc9b0
g__Coxiella,#ecc8b0
g__Prevotella,#ecc6af
f__Sedimenticolaceae,#ecc4ae
g__Haloferula,#ecc2ad
g__Rikenella,#ecc1ad
g__Roseibacillus,#ecbfac
f__Pirellulaceae,#ecbdab
g__PS1_clade,#ecbbaa
g__Stenotrophomonas,#ecbaaa
g__Microbulbifer,#ecb8a9
g__Romboutsia,#edb6a8
g__Trichodesmium_IMS101,#edb4a7
o__Rhodospirillales,#edb3a7
g__Rhodopirellula,#edb1a6
g__Cyanobium_PCC-6307,#CA631E
f__Halobacteroidaceae,#BD3535
g__Prosthecochloris,#C1A122
f__Cyanobiaceae,#9AB822
f__Simkaniaceae,#519623
g__Ruegeria,#24927A
g__Paracoccus,#A35353
g__Blastopirellula,#983333
NA,#82964B
g__Pseudomonas,#7F3492
g__Rubripirellula,#ff6600
f__Erysipelotrichaceae,#db1919
f__Rhizobiaceae,#ffd42a
g__DEV007,#aad400
g__Pir4_lineage,#44aa00
g__Cetobacterium,#01c79c
g__Breznakia,#ea7777
g__Synechococcus_CC9902,#d94747
g__Rubritalea,#c9ea6f
f__Rhodobacteraceae,#d056ef
g__Psychrobacter,#9955ff
g__Endozoicomonas,#00ccff
