ASV_ID,Mars2,Mars4,Mars5,Mars6,Neg,Nurs2,Nurs3,Nurs4,Nurs5,Nurs6,Par1_6m,Par2_0,Par2_6m,Par3_0,Par3_6m,Par4_0,Par4_6m,Par5_0,Par5_6m,Par6_0,Reb1,Reb2,Reb3,Reb4,Reb5,Reb6
212b032047a012cdc3badcaa96497849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
be429a1c320e25b15f45eaf8625edd87,77,46,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,52
c16512664393edb7834a6d18e7e3c426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,0,0
a39774db0fc643027fce6c683a40501d,0,0,0,0,0,0,118,0,2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eabeba5de13450f10dec103a2695e890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
ffce0cbfbccbe74d9290a7d093ecf292,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbf2b5a92de03a54d1d19f65d81bafa6,0,0,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63ac6ea61d41cfd203f5641a7cb21f26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
d3c493bb7092789cebe214f3a11a2a7e,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3572f8e6f6d44f903903dbc1dfdf7df4,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56491a26ba21408f61b7bf6ba60285eb,532,7,0,0,0,0,0,0,103,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,62,0
1c80be7c2a9a8e85794dd6889378d6fe,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0
b5c0591516af5e33a4ec34498a5da150,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0
a27fcb46b2da62036e7dc800ff39f432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1ecca6aa5c8a413d12d151710ceb1428,0,0,0,0,0,0,0,0,0,0,556,0,36,0,0,0,0,0,15,0,0,0,0,0,0,48
a40243cc7638ed9929db56c36f0f14e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0
40992c8e5e511024d4ffab9b3a092f96,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f3ae334a0f72c46c7ec5b90910cf820,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fee0646543a2ead06efb2cce9edbc17a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,41
1f101a84d6ef68f548da59e746d55ad9,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd2dc851a79b5653658b374c812b300a,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
d65c957925e55fad16780ff1a4d4bf8f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
ddb24ad2400564552e543f1398a65a03,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d26833c0b82611220c655179df6f7725,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
5b82d81488e72d6996575d3222d865e8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ee6d3ba8cf5017c8e2ee76c63b850372,0,0,37,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0
ba0e1f9934dce4052d172687239c1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
46777c0e45ba41f3f01d7fe2ecec64dc,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17b790f4a023f2a8aee80eeb1161ab95,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0
71362633ec4361d3d2c1ed7bdfe4c1b0,0,0,0,0,0,33,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0
272fc75de13532d9464ab0f576169fda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
30203291eb5840235c718448dfe80652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0
7959678c16637c0b4c31c91caab9ab14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
82d40ba6be10e189e1452339d8b4874c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
9a8c454d30a139c77afcb05e876daf92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
bfbf0bf0eea2c970da6156470b6270eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0
cc4aa403db5911660573eba3cd1179e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18
f5904b16ffbb40093f6630092b4b1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
031672f5c5fa7c4f8b12b352274ffdaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,30,18,0
52932b80042af8e870400ed7727b89b4,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c0d3f7803b54f78507aedad70c0842d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,7,0,0,0
412fcc4d9859aaae5ec3e7e52fd270c1,0,0,166,0,0,234,0,0,0,0,99,66,189,0,0,0,37,0,0,0,6,52,16,29,2,0
b0cb675ff02ad95966d7ab80ca78325b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10
cca0d04f1c5bb990bd8987654c8c5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
a46a39c19fd766face4a79230af34fe8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0
47709767d4b7b319f56285b4b472d362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
686ce07956fe803957033ccdf1b9fc69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
3aad8e068fe34731fa9f0b2d928db5b5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,18,0,0
a71da5de2f620823fdf5f714841c0712,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b4408016ce6624a25a94943f33e6454,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21624ba9b690f8f7571920a8cd786589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,44,0,0,9
3cc05b43d28901e728b5ce43c0379733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
a355bffbfd30239afc4eae38a6039bef,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d65626880c0bc423dc035d8bd98419d,0,0,0,0,0,13,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
49ac20eb0ced0db538d4385d7b6de13f,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8f205fd2c7b793e88395191553abe2d8,0,0,16,0,0,0,0,0,7,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,24,0
c84b6cbdc63df6bdd991fac02ef4c7e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
f57b126a60142ce6aff7c66ae4e2d93b,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8687acbb6916615bd54b7b21e49a5006,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74cf47af3d761a8e22c748c8193fb25b,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96758f91992e4a6f7d8c31fdf68d6441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
63a09f1fe8c43a505fe729427cf32ea6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,136,0,0,0,0,0,0,0,0
e03e75f54d936ddaec768267569d666c,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
9f1c5fbd98836b1c934b790edc931ccb,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b0c17c84d36fc75765343f12f3ba013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
d9bd89207edabe0f4ede02967938f1f8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db45cfc9b684771b0bc5f52b4a6c2671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
