KEGG_ID,MARS2_S1,MARS4_S14,MARS5_S2,NURS2_S4,NURS4_S5,NURS5_S6,Par1_6m_S7,Par1_T0_S15,Par2_6m_S8,Par2_T0_S9,Par3_6m_S10,Par3_T0_S11,REBAR2_S12,REBAR4_S13,REBAR5_S16
K14440,1.58191991,1.375050479,1.019182799,1.1204032,0.35094806,1.125467661,0,2.32016755,1.500636163,1.107727939,1.203989745,0.824585932,1.221969133,0.721490259,1.126886508
K14441,0.004426214,0.229793636,0,0,0.137814599,0,0,0.019279805,0.208225842,0.066272386,0.006531574,0,0.012145803,0.147200052,0.019182475
K14442,3.471521564,1.503550413,3.043283228,3.358643977,1.155358411,2.540139089,0,5.663229699,2.808869126,4.840559855,2.286411774,1.067131858,1.971243696,4.28829129,3.067500335
K14445,0.706408519,8.674812653,1.100173596,0.252086728,0.195130515,0.187259721,0,1.271595041,0.266437988,0.314586732,0.478556031,0.116274295,0.206259413,0.593688668,0.518550086
K14453,0.584352042,0,0.071772983,0.156071982,0.050163086,0.146597106,0,0.629190944,0.791706791,0.338176707,0.194931951,0.667522896,0.229574556,0.180026427,0.410286308
K14457,0.896210501,0.346091635,0.844645471,0.982998826,0.58260207,1.036382474,0,1.685703309,0.590054039,1.135608236,0.898929553,1.102101961,0.742936198,0.450236762,1.923000695
K14475,0,0,0,0,0.044342636,0,0,0.036351999,0,0,0.019145988,0,0,0.085090042,0
K14487,0.465498508,1.275483778,0.233463804,2.107609441,1.609953241,0.847737574,0,1.203904681,0.234115542,1.970099895,0.260675854,0,0.510942544,7.131668868,0.175875278
K14488,0.694457784,0.489301966,0.597076971,0.826227462,0.784533365,0.162604836,0,0.533684949,1.053789039,0.314705939,0.691896395,0.962537325,0.683515534,0.417197941,0.460379404
K14520,0.426974636,0.090380618,1.12493865,0.095929594,0.141830534,0.270317594,0,0.845502343,0.322940271,0.454474008,0.229645151,0.396616311,0.248795557,0.369502602,0.366544111
K14521,1.211970217,0.504524694,1.244208299,0.978928438,0.180120476,1.685748691,0,1.758318221,1.288427178,0.705427805,0.787575304,0.128574769,0.744670409,0.299577365,0.355848814
K14534,3.296163649,8.637243407,0.481815156,5.544321421,12.43053654,4.948406443,13.48920001,1.381600351,8.368811716,3.71477807,5.07817786,6.203018315,3.339645981,14.55372368,1.500495834
K14539,0.36442499,0,0,0.524851159,0.016135793,0.078592338,0,0.892895972,0.347271388,2.654973738,0.323966072,0.071573288,0.427532266,7.755602752,0.368303523
K14540,0.008161814,0.402546299,0,0,0.013732589,0,0,0,0.039406682,0.003922834,0.017788117,0,0,0.017601368,0
K14554,1.099286693,0.395336514,0.480422626,0.98090288,0.589558512,0.900879333,0,1.407310666,1.044924056,0.884991246,0.943354263,0.358934699,0.473360012,0.785283717,0.571695021
K14555,0.044836978,4.547999047,0.359797032,0,0,0,0,0,0.144320577,0.071833705,0,0,0,0.016115538,0.084344318
K14558,0.683064836,0,1.608640923,0.229668389,0.012492227,0.456342606,0,1.106038881,0.358473691,0.428221571,0.347901131,0.110823156,0.391173217,0.120086752,0.522753387
K14563,1.272330464,1.527675705,0,1.088538185,0.360800332,0.995828377,0,1.064820041,0.552183076,0.852010206,1.043753645,0,1.564319075,1.325678185,0.937915804
K14564,0.628796238,0,0,0.423456784,0.079847221,0,0,0.441845429,0.400973149,0.650058003,0.374925817,0,0.432741187,0.243062189,0.284770765
K14570,0.049497452,0,0,0.058889331,0.08328151,0,0,0.102411008,0.11949123,0.107055393,0.01348454,0,0.150451237,0.040028917,0.336621499
K14571,1.20482516,0.341510398,0.783162444,0.899603619,0.188736347,1.259747217,0,2.286501357,0.872566375,1.150169129,0.814914075,0.356574505,1.666912805,1.039306766,0.604975101
K14572,0.364147015,0.125674177,0,0.138902008,0.074832661,0.102511745,0,0.586636967,0.275132887,0.219110152,0.266563949,0.290442329,0.329520916,0.167850726,0.282454996
K14573,0.524470132,0.031015862,0,0.547670775,0.095227629,0.850343325,0,0.593312296,0.382567824,0.634727328,0.460508092,0.140799911,0.711067077,0.309206982,0.27169932
K14575,1.364308896,0.61031213,2.112150302,0.742441015,0.2878609,1.509931569,0,2.123889783,0.773087003,1.311462568,1.032569651,0.720280105,1.395640733,0.860901469,1.207399097
K14589,0.436650161,0.095715056,0.37375206,0.28630344,0.068570316,0.437360395,0.261594941,0.714718304,0.267041742,0.279824382,0.319331188,0.282430851,0.334265607,0.12764702,0.704931701
K14606,0.503216484,0,0.153345229,0.373871193,0.146472509,0.182705434,0,0.896190791,0.36905594,0.257169965,0.249886936,0,0.374323788,0.350289955,0.227641476
K14623,0,0,0,0,0,0,0,1.193771908,0,0,0,0,0,0,0
K14636,0.300434202,0.209288452,0.735514286,0.557364063,0.085676775,0.709417561,0,0.758566489,0.29502702,0.646121928,0.377328454,0.171015821,0.474653682,0.367876378,0.293339089
K14638,2.018792917,0,2.545487121,0.615854686,0.340543447,0.489097749,0,2.394477886,1.127555352,2.439462905,1.148025388,1.000301378,1.51435022,1.538879464,1.719026589
K14640,2.965270295,1.027604999,0.512648354,1.623024339,0.778625079,1.638392089,0.745797116,5.080093728,2.545912425,2.961813769,1.545151109,0.327240122,1.702366054,4.141524388,2.118417343
K14645,0.544735817,5.063192434,0,0.369216253,0.203545848,0.105967197,0,1.665594409,0.436108254,2.692942113,0.37976312,0.241258275,0.688434451,4.852813662,0.517280229
K14648,0.437761288,0.445168848,0.054322297,0.085909141,0.030373257,0.166430833,0,0.429523814,0.31594887,0.390437314,0.344252373,0.3199747,0.182901504,0.223847985,0.361081885
